date,tx_count,other_msg_count,system_count,p2p_count,p2c_count,c2c_count,c2p_count,hx_address_count,cx_address_count,tx_fees_L1,tx_fees_DEX
2023-07-01,64040.0,56662.0,43170.0,46697.0,6630.0,3210.0,7503.0,6022.0,114.0,305.63570811249986,0.0
2023-07-02,59823.0,54014.0,43139.0,46123.0,6208.0,2232.0,5260.0,5358.0,112.0,254.5169886124998,0.0
2023-07-03,63187.0,57411.0,43140.0,46407.0,7337.0,2294.0,7149.0,6628.0,115.0,260.7058569374998,0.0
2023-07-04,63483.0,56414.0,43181.0,43192.0,7608.0,3097.0,9586.0,5991.0,123.0,307.9910874624998,0.0
2023-07-05,62485.0,55784.0,43125.0,46129.0,6472.0,2812.0,7072.0,5862.0,112.0,253.36756822499984,0.0
2023-07-06,65403.0,55902.0,43139.0,46089.0,7750.0,4639.0,6925.0,5373.0,118.0,284.26337691249984,0.0
2023-07-07,63087.0,57413.0,43153.0,45784.0,6173.0,2196.0,8934.0,5563.0,112.0,336.56550278749984,0.0
2023-07-08,63069.0,58496.0,43170.0,45973.0,5382.0,1274.0,10440.0,5625.0,104.0,200.09430848749983,0.0
2023-07-09,60149.0,56608.0,43169.0,47044.0,4743.0,1298.0,7064.0,5508.0,108.0,185.97187489999988,0.0
2023-07-10,63617.0,58847.0,43139.0,46554.0,7275.0,2222.0,7566.0,6312.0,114.0,329.9396048624998,0.0
2023-07-11,62833.0,55436.0,43139.0,47383.0,6687.0,1895.0,6868.0,5918.0,117.0,252.50757809999985,0.0
2023-07-12,55611.0,50910.0,43175.0,46707.0,5605.0,1569.0,1730.0,1924.0,105.0,196.84730001249983,0.0
2023-07-13,70096.0,62808.0,43163.0,47036.0,6720.0,3475.0,12865.0,5858.0,113.0,302.38373498749985,0.0
2023-07-14,63629.0,57162.0,43137.0,46753.0,6610.0,2832.0,7434.0,6049.0,110.0,266.8543432374998,0.0
2023-07-15,63042.0,56336.0,43142.0,47037.0,5983.0,2521.0,7501.0,5840.0,114.0,240.97058681249985,0.0
2023-07-16,60577.0,55719.0,43169.0,46914.0,5446.0,1514.0,6703.0,5841.0,105.0,186.8122597374999,0.0
2023-07-17,65964.0,59222.0,43160.0,47040.0,7984.0,2682.0,8258.0,6624.0,114.0,328.9080941499998,0.0
2023-07-18,66965.0,60118.0,43021.0,48136.0,6855.0,3448.0,8526.0,5997.0,108.0,306.2200103749998,0.0
2023-07-19,62233.0,58000.0,42844.0,48464.0,4992.0,1937.0,6840.0,5860.0,108.0,209.56700377499985,0.0
2023-07-20,62992.0,58597.0,43005.0,48017.0,5542.0,1858.0,7575.0,5787.0,101.0,222.28307751249983,0.0
2023-07-21,63080.0,57885.0,42940.0,47614.0,5462.0,2879.0,7125.0,5675.0,112.0,256.53241921249986,0.0
2023-07-22,61613.0,57731.0,43060.0,47518.0,4938.0,1714.0,7443.0,5653.0,104.0,212.28334449999983,0.0
2023-07-23,61303.0,57390.0,43071.0,47423.0,4763.0,1517.0,7600.0,5623.0,104.0,218.23216957499983,0.0
2023-07-24,60084.0,54239.0,43019.0,48208.0,7343.0,2309.0,2224.0,2815.0,107.0,218.21535027499985,0.0
2023-07-25,62640.0,57256.0,43103.0,48312.0,5555.0,1962.0,6811.0,5690.0,113.0,231.27358001249985,0.0
2023-07-26,61551.0,57305.0,43049.0,48070.0,5915.0,1284.0,6282.0,5802.0,114.0,190.65615817499983,0.0
2023-07-27,63381.0,57505.0,43094.0,48127.0,5826.0,2196.0,7232.0,5726.0,115.0,323.1668743249997,0.0
2023-07-28,35643.0,30459.0,43136.0,21476.0,5707.0,1665.0,6795.0,5760.0,103.0,167.3788001499999,0.0
2023-07-29,15120.0,11191.0,43143.0,3220.0,4714.0,913.0,6273.0,5667.0,99.0,101.60254403749988,0.0
2023-07-30,16857.0,12372.0,43157.0,3183.0,5290.0,1753.0,6631.0,5763.0,112.0,140.39806073749986,0.0
2023-07-31,49129.0,42986.0,43136.0,32477.0,7195.0,2404.0,7053.0,6853.0,117.0,266.33260034999984,0.0
2023-08-01,60040.0,54418.0,43113.0,44736.0,5914.0,2288.0,7102.0,5965.0,114.0,279.18314726249986,0.0
2023-08-02,66778.0,62057.0,43165.0,46689.0,12084.0,1546.0,6459.0,5721.0,113.0,277.4290039249997,0.0
2023-08-03,73715.0,67726.0,43154.0,46223.0,13575.0,2070.0,11847.0,5785.0,114.0,337.45061464999964,0.0
2023-08-04,64038.0,58013.0,43139.0,48374.0,6784.0,1940.0,6940.0,5733.0,106.0,269.55347267499985,0.0
2023-08-05,60002.0,55375.0,43157.0,46625.0,5408.0,1477.0,6492.0,5653.0,108.0,193.1254567749999,0.0
2023-08-06,59701.0,55152.0,43159.0,46614.0,5165.0,1385.0,6537.0,5669.0,111.0,186.52898409999992,0.0
2023-08-07,55506.0,50929.0,43143.0,40840.0,6794.0,1430.0,6442.0,6612.0,110.0,287.32507439999983,0.0
2023-08-08,61859.0,56517.0,43167.0,46756.0,5657.0,2147.0,7299.0,5739.0,113.0,221.85423799999984,0.0
2023-08-09,54144.0,49741.0,43169.0,46486.0,5286.0,1303.0,1069.0,1867.0,104.0,195.4713883874999,0.0
2023-08-10,58652.0,53955.0,43161.0,45216.0,5385.0,1477.0,6574.0,5685.0,108.0,208.26035633749987,0.0
2023-08-11,44315.0,41294.0,43138.0,30671.0,5606.0,1202.0,6836.0,5544.0,104.0,177.4791583874999,0.0
2023-08-12,57543.0,54704.0,43134.0,45487.0,4817.0,1120.0,6119.0,5436.0,100.0,163.6525158624999,0.0
2023-08-13,62515.0,55908.0,43174.0,47476.0,6987.0,1647.0,6405.0,5754.0,107.0,207.61125153749987,0.0
2023-08-14,62605.0,57762.0,43165.0,46167.0,7884.0,1430.0,7124.0,6514.0,110.0,284.1964961624999,0.0
2023-08-15,60767.0,55855.0,43137.0,41497.0,5864.0,1779.0,11627.0,5838.0,105.0,224.1850507374999,0.0
2023-08-16,12607.0,7199.0,43145.0,3366.0,5677.0,2156.0,1408.0,1921.0,104.0,173.14212489999989,0.0
2023-08-17,24572.0,18408.0,43151.0,3508.0,6304.0,2740.0,12020.0,5744.0,110.0,253.4286111999999,0.0
2023-08-18,17186.0,12076.0,43168.0,3431.0,5392.0,1941.0,6422.0,5712.0,101.0,160.80546417499988,0.0
2023-08-19,16242.0,11923.0,43109.0,3117.0,5386.0,1249.0,6490.0,5688.0,103.0,125.17037822499992,0.0
2023-08-20,16492.0,12472.0,43132.0,3274.0,4969.0,1313.0,6936.0,5676.0,99.0,128.00944187499988,0.0
2023-08-21,30915.0,25819.0,43163.0,16042.0,6758.0,1829.0,6286.0,6421.0,113.0,222.67683052499984,0.0
2023-08-22,60288.0,55880.0,43129.0,46564.0,5288.0,1507.0,6929.0,5682.0,94.0,220.3569665749999,0.0
2023-08-23,60342.0,55316.0,43123.0,46369.0,5643.0,1800.0,6530.0,5692.0,105.0,197.63815368749985,0.0
2023-08-24,59565.0,55083.0,43184.0,46336.0,5145.0,1424.0,6660.0,5629.0,98.0,201.2604475124999,0.0
2023-08-25,58751.0,54751.0,43170.0,46113.0,5378.0,1157.0,6103.0,5684.0,102.0,165.8288519249999,0.0
2023-08-26,24087.0,19829.0,43153.0,11876.0,4735.0,1092.0,6384.0,5558.0,103.0,116.5224769749999,0.0
