date,marketCap,icxSupply,icxCirculation,publicTreasury,iglobal
2021-12-13,749132867.4948529,916128375.4795512,678241116.9169872,5719500.954865489,
2021-12-14,782333247.8347385,916261575.9847753,678374206.318572,5763552.724566828,
2021-12-15,801925014.896636,916395279.7783176,678507910.1121141,5826229.654794736,
2021-12-16,811316880.293527,916529270.1378112,678641900.4716078,5859142.86318678,
2021-12-17,821895739.135654,916658728.5743657,678771358.9810182,5895718.225927235,
2021-12-18,830764248.749254,916796972.2255267,678909533.0716795,5827716.05966,
2021-12-19,824354192.6408478,916931384.7147427,679043604.5634764,5881021.127965919,
2021-12-20,837119602.4973656,917065577.3803437,679177609.75586,5905965.75662912,
2021-12-21,869914751.8328235,917199901.426164,679311845.0781653,5918278.518699118,
2021-12-22,1007065374.1984128,917327149.778816,679439093.4308172,5544314.027814281,
2021-12-23,1025080494.270934,919665411.1247612,681777112.9811332,7737168.50020637,
2021-12-24,1027119857.3906424,922658725.1028978,692774819.4202534,10666461.314891696,
2021-12-25,1076877434.5200374,923335077.5075232,693451046.4760822,11267234.455889389,
2021-12-26,1061461785.3145556,923324996.0260417,693440912.4183226,11176069.216705589,
2021-12-27,1078702560.652648,923314964.5445603,693430850.949618,10914487.024874512,
2021-12-28,1181800070.114662,923304983.0630788,693420755.0196091,10780735.496769605,
2021-12-29,997429991.308166,923293001.5815971,693408600.2729794,10695259.359492294,
2021-12-30,875397865.072668,923283020.100116,693398600.0559844,10631454.345082343,
2021-12-31,849633591.5276105,923273038.6186343,693388618.5745028,10576302.538352784,
2022-01-01,860974408.7269714,923263057.1371528,693378615.3525996,10512872.771714289,
2022-01-02,875313680.559291,923253075.6556714,693368633.8711182,10448218.085373456,
2022-01-03,850824863.5715362,923243094.17419,693358576.1607308,10300559.248965075,
2022-01-04,837444146.7,923233112.7,693348594.7,10231699.05,3000000.0
2022-01-05,763140254.2,923223131.2,693338506.3,10171554.76,3000000.0
2022-01-06,776016498.7,923213149.7,693909244.5,10118360.34,3000000.0
2022-01-07,725659067.4,923203168.2,693899172.3,10058048.77,3000000.0
2022-01-08,687829352.5,923193186.8,693889136.9,10000263.74,3000000.0
2022-01-09,704535708.6,923183205.3,693879155.4,9943657.43,3000000.0
2022-01-10,656674445.5,923173223.8,693868950.0,9884534.836,3000000.0
2022-01-11,680130866.6349024,923163242.3223379,693858754.7140949,9831507.707279012,3000000.0
2022-01-12,723438483.3906986,923153260.8408567,693848761.7444661,9764731.490803678,3000000.0
2022-01-13,698908076.496853,923143279.3593752,693838532.3838477,9704928.72667591,3000000.0
2022-01-14,719757123.9541408,923133297.8778936,693828550.9023662,9644025.655101247,3000000.0
2022-01-15,736037909.8058997,923123316.3964121,693818371.4521012,9591227.195757987,3000000.0
2022-01-16,734846944.9756979,923113334.9149308,693808389.9706198,9510980.921807395,3000000.0
2022-01-17,686013682.072232,923103353.4334493,693798408.4891384,9455566.988133306,3000000.0
2022-01-18,668691292.9173399,923093321.9519677,693925877.0089068,9367904.661678126,3000000.0
