IRC Token,holders,liquidity,Amount,No. of Transactions,Price in USD,Value Transferred in USD,address,path
bnUSD,0.0,0.0,62604.8721544947,542.0,,,cx0000000000000000000000000000000000000088,
sICX,12726.0,1462812.8069547173,1235044.7669390433,255.0,0.0760713802120536,93951.5600447271,cx2609b924e33ef00b648a409245c7ea394c467824,"['ICX', 'cx2609b924e33ef00b648a409245c7ea394c467824']"
BST,606.0,8.207320851295481,18.526575714520504,183.0,1.1037225362832421,20.44819913627409,cxf14dea1cff7ceb29a46e6d04533a08f84441e41d,"['ICX', 'cx2609b924e33ef00b648a409245c7ea394c467824', 'cx88fd7df7ddff82f7cc735c871dc519838cb235bb', 'cxf14dea1cff7ceb29a46e6d04533a08f84441e41d']"
wICX,12726.0,1462812.8069547173,1374195.938882437,129.0,0.0760713802120536,104536.98175258585,cx2609b924e33ef00b648a409245c7ea394c467824,"['ICX', 'cx2609b924e33ef00b648a409245c7ea394c467824']"
SUI,110.0,167151.69332764013,7411.846573985,102.0,1.5195172854898797,11262.428986569152,cx508002ec116fbf3ab406329c0df28e70d7e75fb3,"['ICX', 'cx2609b924e33ef00b648a409245c7ea394c467824', 'cx88fd7df7ddff82f7cc735c871dc519838cb235bb', 'cx508002ec116fbf3ab406329c0df28e70d7e75fb3']"
BALN,16918.0,107624.79146512032,475016.7394968515,76.0,0.03770130608896148,17908.751493151278,cxf61cd5a45dc9f91c15aa65831a30a90d59a09619,"['ICX', 'cx2609b924e33ef00b648a409245c7ea394c467824', 'cxf61cd5a45dc9f91c15aa65831a30a90d59a09619']"
BNB,101.0,229719.4782515369,4.575105579963777,34.0,890.6145025508821,4074.6553802172043,cx2d552c485ec8bcaa75aac02424e2aca6ffdb2f1b,"['ICX', 'cx2609b924e33ef00b648a409245c7ea394c467824', 'cx88fd7df7ddff82f7cc735c871dc519838cb235bb', 'cx2d552c485ec8bcaa75aac02424e2aca6ffdb2f1b']"
INJ,97.0,144755.07819495603,654.9994606260831,34.0,4.7691420109225175,3123.7854448034423,cx4297f4b63262507623b6ad575d0d8dd2db980e4e,"['ICX', 'cx2609b924e33ef00b648a409245c7ea394c467824', 'cx88fd7df7ddff82f7cc735c871dc519838cb235bb', 'cx4297f4b63262507623b6ad575d0d8dd2db980e4e']"
AVAX,146.0,203084.0148868577,549.9974841170038,28.0,13.726834112107694,7549.724226550697,cx66a031cc3bd305c76371fb586e93801b948254f0,"['ICX', 'cx2609b924e33ef00b648a409245c7ea394c467824', 'cx66a031cc3bd305c76371fb586e93801b948254f0']"
BTC,114.0,597908.6926042463,0.049400838527248955,27.0,91603.26128306548,4525.277919214114,cx07b184a37f03c6ab681fcbd0b45aec6dc3eafbeb,"['ICX', 'cx2609b924e33ef00b648a409245c7ea394c467824', 'cx88fd7df7ddff82f7cc735c871dc519838cb235bb', 'cx07b184a37f03c6ab681fcbd0b45aec6dc3eafbeb']"
$unknown,,,0.0,24.0,,,,
XLM,44.0,70760.23216699134,11614.555271,22.0,0.22612130522533552,2626.2983974903204,cx518f64edcd35db9044a2de63fdc10abfd5f7d611,"['ICX', 'cx2609b924e33ef00b648a409245c7ea394c467824', 'cx518f64edcd35db9044a2de63fdc10abfd5f7d611']"
ETH,246.0,500777.7805206017,2.086677980888793,18.0,3160.5002572100366,6594.946295313551,cx288d13e1b63563459a2ac6179f237711f6851cb5,"['ICX', 'cx2609b924e33ef00b648a409245c7ea394c467824', 'cx288d13e1b63563459a2ac6179f237711f6851cb5']"
GBET,3018.0,1488.6348132326875,53776.58860557746,7.0,0.00021085218762494884,11.338911350492905,cx6139a27c15f1653471ffba0b4b88dc15de7e3267,"['ICX', 'cx2609b924e33ef00b648a409245c7ea394c467824', 'cx6139a27c15f1653471ffba0b4b88dc15de7e3267']"
USDC,107.0,1.0216264824502868,7999.2,4.0,0.9549670983990856,7638.972813513965,cx22319ac7f412f53eabe3c9827acf5e27e9c6a95f,"['ICX', 'cx2609b924e33ef00b648a409245c7ea394c467824', 'cx88fd7df7ddff82f7cc735c871dc519838cb235bb', 'cx22319ac7f412f53eabe3c9827acf5e27e9c6a95f']"
IUSDC,5616.0,9452.778452806495,0.0009710000000000001,3.0,0.15554857052811685,0.00015103766198280147,cxae3034235540b924dfcc1b45836c293dcc82bfb7,"['ICX', 'cx2609b924e33ef00b648a409245c7ea394c467824', 'cx1a29259a59f463a67bb2ef84398b30ca56b5830a', 'cxae3034235540b924dfcc1b45836c293dcc82bfb7']"
ICX,,,,,,,,
ICX,,,,,0.054326554,,,
